visitorId,department
0141758643d5b78b0e7663cd723ef12c99f7e3d9,faqueiros e talheres
014c0700326a8ff51030105e30846441b3520358,games
0154c89d8eda46efc4bb97404aa0bd70efcea03c,moveis
0157cdb1ee765caea6c567cd8839da1c01bff7fb,beleza e saude
015a69b9cbb0d7a893603df1802add080a0cdca0,celulares e telefones
015d3363436b57bc9d43f305c7b74e94ede5941c,beleza e saude
015d3363436b57bc9d43f305c7b74e94ede5941c,casal
015d3363436b57bc9d43f305c7b74e94ede5941c,automotivo
015d3363436b57bc9d43f305c7b74e94ede5941c,eletrodomesticos
015d3363436b57bc9d43f305c7b74e94ede5941c,escova rotativa
015d3363436b57bc9d43f305c7b74e94ede5941c,chapinha prancha
015d3363436b57bc9d43f305c7b74e94ede5941c,cooktop
015d3363436b57bc9d43f305c7b74e94ede5941c,cama box
015d3363436b57bc9d43f305c7b74e94ede5941c,cd player
015d3363436b57bc9d43f305c7b74e94ede5941c,colchoes
015d3363436b57bc9d43f305c7b74e94ede5941c,cuide de seu cabelo
015d3363436b57bc9d43f305c7b74e94ede5941c,cooktop 5 bocas
015d3363436b57bc9d43f305c7b74e94ede5941c,audio
01634b7b6b9fab9df187a59950ef0192ea483084,eletroportateis
01634b7b6b9fab9df187a59950ef0192ea483084,liquidificador
016bb49c0c07fa8a5db4a12d268439278199ca3a,microondas
016bb49c0c07fa8a5db4a12d268439278199ca3a,refrigerador
016bb49c0c07fa8a5db4a12d268439278199ca3a,eletrodomesticos
016bb49c0c07fa8a5db4a12d268439278199ca3a,refrigerador 2 portas
016bb49c0c07fa8a5db4a12d268439278199ca3a,microondas de embutir
017f78260d6e21530e2f54fa0d24393fef325a0c,notebook
017f78260d6e21530e2f54fa0d24393fef325a0c,mochilas
017f78260d6e21530e2f54fa0d24393fef325a0c,malas mochilas e bolsas
01848a563cbc52c2c36f63d31612eeef0a2c72d9,tablets
01848a563cbc52c2c36f63d31612eeef0a2c72d9,celulares e telefones
018956125eee0e0542545e4ece2459bdc1ec88eb,beleza e saude
018956125eee0e0542545e4ece2459bdc1ec88eb,cuide de sua saude
018956125eee0e0542545e4ece2459bdc1ec88eb,balanca
019ed6af5861fcfe3b306c863f30a99a6f81995c,celulares e telefones
01b3cc3472539c4970f3ae069eb62fb2294863a6,tv
01b3cc3472539c4970f3ae069eb62fb2294863a6,tv e video
01b3cc3472539c4970f3ae069eb62fb2294863a6,de 39 a 43
01bd3433b4678727d954d5969734ade33dd1505d,bebes
01bd3433b4678727d954d5969734ade33dd1505d,bem estar
01bd3433b4678727d954d5969734ade33dd1505d,cadeiras de descanso
01c037317c400889c806553ea0a937701d218f9b,lg
01c037317c400889c806553ea0a937701d218f9b,celulares e telefones
01c037317c400889c806553ea0a937701d218f9b,smartphones
01c38af7505dc397697716ad048b8b0509d55d44,casa e ferramentas
01c38af7505dc397697716ad048b8b0509d55d44,casa
01c38af7505dc397697716ad048b8b0509d55d44,escadas
01cb32c18d76095b8972ea1fa7f55a7a4c5c4447,beleza e saude
01cb32c18d76095b8972ea1fa7f55a7a4c5c4447,cuide de sua saude
01cb32c18d76095b8972ea1fa7f55a7a4c5c4447,balanca
01d0eccb566ffa7a0cdd04e3b7305f301080239f,beleza e saude
01d0eccb566ffa7a0cdd04e3b7305f301080239f,cuide de sua saude
01d0eccb566ffa7a0cdd04e3b7305f301080239f,balanca
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,conjunto de panelas de ceramica
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,conj panelas antiaderente
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,faqueiros ate 30 pecas
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,faqueiros de 76 a 130 pecas
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,panelas
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,mixer
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,conj panelas inox
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,bebes
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,cama mesa e banho
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,tv e video
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,utilidades domesticas
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,conj panelas aluminio
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,cha cafe e sobremesa
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,de 39 a 43
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,rechaud
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,tv
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,faqueiros e talheres
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,eletroportateis
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,mixer com mini processador
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,colchoes
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,panelas de pressao
01e3c859b1f533df4ad8ff6cd3367f3bfb3be4e3,garrafas termicas
01ea5e9802132bfed9caa56f22bf9e43469db6f7,celulares e telefones
01eb784897a2946ebe5a918f1bdd48c5b69c75ba,chuveiros e duchas
01eb784897a2946ebe5a918f1bdd48c5b69c75ba,casa e ferramentas
01eb784897a2946ebe5a918f1bdd48c5b69c75ba,casa
01fff19e31bce3cab8796cae8f02d58c000cb207,celulares e telefones
01fff19e31bce3cab8796cae8f02d58c000cb207,fogao
